# FACILITY: LCO
# DATE-OBS: 2023-09-12
wavelength flux
4.165761725608222150e+03 1.430649125000000005e-14
4.167484574868317395e+03 1.413197624999999962e-14
4.169207424128412640e+03 1.426314999999999827e-14
4.170930273388507885e+03 1.494855749999999974e-14
4.172653122648603130e+03 1.488680750000000066e-14
4.174375971908698375e+03 1.445559624999999836e-14
4.176098821168793620e+03 1.458481500000000032e-14
4.177821670428888865e+03 1.437073499999999980e-14
4.179544519688984110e+03 1.535723875000000047e-14
4.181267368949079355e+03 1.460616124999999886e-14
4.182990218209174600e+03 1.428394624999999802e-14
4.184713067469269845e+03 1.422845749999999973e-14
4.186435916729365090e+03 1.382538999999999962e-14
4.188158765989460335e+03 1.422084750000000038e-14
4.189881615249556489e+03 1.405557249999999929e-14
4.191604464509651734e+03 1.397402124999999960e-14
4.193327313769746979e+03 1.414438749999999914e-14
4.195050163029842224e+03 1.437358125000000012e-14
4.196773012289937469e+03 1.484789375000000008e-14
4.198495861550032714e+03 1.431184500000000014e-14
4.200218710810127959e+03 1.376611124999999895e-14
4.201941560070223204e+03 1.358248374999999989e-14
4.203664409330318449e+03 1.433169249999999874e-14
4.205387258590413694e+03 1.467365374999999904e-14
4.207110107850508939e+03 1.468475499999999933e-14
4.208832957110604184e+03 1.455064625000000056e-14
4.210555806370699429e+03 1.436540624999999837e-14
4.212278655630794674e+03 1.381704499999999849e-14
4.214001504890889919e+03 1.370170249999999893e-14
4.215724354150985164e+03 1.392948124999999908e-14
4.217447203411080409e+03 1.442278874999999807e-14
4.219170052671175654e+03 1.399754749999999851e-14
4.220892901931271808e+03 1.422540624999999846e-14
4.222615751191367053e+03 1.488190624999999798e-14
4.224338600451462298e+03 1.466599624999999878e-14
4.226061449711557543e+03 1.388850124999999974e-14
4.227784298971652788e+03 1.451224999999999832e-14
4.229507148231748033e+03 1.451682375000000000e-14
4.231229997491843278e+03 1.482864875000000029e-14
4.232952846751938523e+03 1.499640000000000048e-14
4.234675696012033768e+03 1.501688249999999834e-14
4.236398545272129013e+03 1.433356749999999879e-14
4.238121394532224258e+03 1.449418249999999795e-14
4.239844243792319503e+03 1.432827499999999872e-14
4.241567093052414748e+03 1.431204749999999839e-14
4.243289942312509993e+03 1.492560499999999850e-14
4.245012791572605238e+03 1.373898999999999884e-14
4.246735640832701392e+03 1.387415999999999903e-14
4.248458490092796637e+03 1.447674874999999866e-14
4.250181339352891882e+03 1.451318624999999857e-14
4.251904188612987127e+03 1.444339374999999912e-14
4.253627037873082372e+03 1.364690124999999992e-14
4.255349887133177617e+03 1.396218124999999979e-14
4.257072736393272862e+03 1.440023749999999875e-14
4.258795585653368107e+03 1.410265874999999892e-14
4.260518434913463352e+03 1.383602749999999978e-14
4.262241284173558597e+03 1.370489874999999934e-14
4.263964133433653842e+03 1.371865499999999967e-14
4.265686982693749087e+03 1.357752874999999901e-14
4.267409831953844332e+03 1.351864999999999890e-14
4.269132681213939577e+03 1.341298374999999901e-14
4.270855530474034822e+03 1.390612749999999909e-14
4.272578379734130067e+03 1.418480624999999855e-14
4.274301228994225312e+03 1.381442499999999846e-14
4.276024078254320557e+03 1.296927124999999920e-14
4.277746927514416711e+03 1.367915999999999961e-14
4.279469776774511956e+03 1.353054499999999985e-14
4.281192626034607201e+03 1.349081874999999883e-14
4.282915475294702446e+03 1.323523624999999996e-14
4.284638324554797691e+03 1.333325249999999981e-14
4.286361173814892936e+03 1.382774624999999980e-14
4.288084023074988181e+03 1.396914499999999874e-14
4.289806872335083426e+03 1.387281124999999889e-14
4.291529721595178671e+03 1.435225125000000023e-14
4.293252570855273916e+03 1.383654749999999925e-14
4.294975420115369161e+03 1.385335999999999995e-14
4.296698269375464406e+03 1.423226124999999805e-14
4.298421118635559651e+03 1.407740499999999864e-14
4.300143967895654896e+03 1.412523499999999848e-14
4.301866817155750141e+03 1.370722874999999952e-14
4.303589666415846295e+03 1.341499375000000000e-14
4.305312515675941540e+03 1.317948874999999935e-14
4.307035364936036785e+03 1.379263874999999867e-14
4.308758214196132030e+03 1.329555624999999933e-14
4.310481063456227275e+03 1.328353249999999947e-14
